연구,고기,목재,석탄,철광,철강재,시간
무기특훈VI-5,7000000,7000000,1400000,350000,110000,37d 22:00:00
무기특훈VI-6,13000000,13000000,2700000,690000,220000,90d 06:40:00
반격방어VI-0,0,0,0,0,0,0
반격방어VI-1,1900000,1900000,380000,97000,32000,6d 22:40:00
반격방어VI-2,1900000,1900000,380000,97000,32000,6d 22:40:00
반격방어VI-3,1900000,1900000,380000,97000,32000,7d 15:20:00
반격방어VI-4,2300000,2300000,460000,110000,38000,12d 03:40:00
반격방어VI-5,2700000,2700000,540000,130000,44000,14d 14:00:00
반격방어VI-6,5300000,5300000,1000000,260000,88000,34d 17:20:00
정밀사격VI-0,0,0,0,0,0,0
정밀사격VI-1,4600000,4600000,930000,230000,76000,16d 16:00:00
정밀사격VI-2,4600000,4600000,930000,230000,76000,16d 16:00:00
정밀사격VI-3,4600000,4600000,930000,230000,76000,18d 08:00:00
정밀사격VI-4,5500000,5500000,1100000,270000,92000,29d 04:00:00
정밀사격VI-5,6500000,6500000,1300000,320000,100000,35d 00:00:00
정밀사격VI-6,12000000,12000000,2500000,640000,210000,83d 08:00:00
신속돌격VI-0,0,0,0,0,0,0
신속돌격VI-1,4600000,4600000,930000,230000,76000,16d 16:00:00
신속돌격VI-2,4600000,4600000,930000,230000,76000,16d 16:00:00
신속돌격VI-3,4600000,4600000,930000,230000,76000,18d 08:00:00
신속돌격VI-4,5500000,5500000,1100000,270000,92000,29d 04:00:00
신속돌격VI-5,6500000,6500000,1300000,320000,100000,35d 00:00:00
신속돌격VI-6,12000000,12000000,2500000,640000,210000,83d 08:00:00
방어라인업VI-0,0,0,0,0,0,0
방어라인업VI-1,5800000,5800000,1100000,290000,96000,20d 20:00:00
방어라인업VI-2,5800000,5800000,1100000,290000,96000,20d 20:00:00
방어라인업VI-3,5800000,5800000,1100000,290000,96000,22d 22:00:00
방어라인업VI-4,6900000,6900000,1300000,340000,110000,36d 11:00:00
방어라인업VI-5,8100000,8100000,1600000,400000,130000,43d 18:00:00
방어라인업VI-6,16000000,16000000,3200000,800000,260000,104d 04:00:00
경계대형VI-0,0,0,0,0,0,0
경계대형VI-1,3100000,3100000,620000,150000,51000,11d 02:40:00
경계대형VI-2,3100000,3100000,620000,150000,51000,11d 02:40:00
경계대형VI-3,3100000,3100000,620000,150000,51000,12d 05:20:00
경계대형VI-4,3700000,3700000,740000,180000,61000,19d 10:40:00
경계대형VI-5,4300000,4300000,870000,210000,71000,23d 08:00:00
경계대형VI-6,8500000,8500000,1700000,420000,140000,55d 13:20:00
진지방어VI-0,0,0,0,0,0,0
진지방어VI-1,3100000,3100000,620000,150000,51000,11d 02:40:00
진지방어VI-2,3100000,3100000,620000,150000,51000,11d 02:40:00
진지방어VI-3,3100000,3100000,620000,150000,51000,12d 05:20:00
진지방어VI-4,3700000,3700000,740000,180000,61000,19d 10:40:00
진지방어VI-5,4300000,4300000,870000,210000,71000,23d 08:00:00
진지방어VI-6,8500000,8500000,1700000,420000,140000,55d 13:20:00
방어특훈VI-0,0,0,0,0,0,0
방어특훈VI-1,5000000,5000000,1000000,250000,83000,18d 01:20:00
방어특훈VI-2,5000000,5000000,1000000,250000,83000,18d 01:20:00
방어특훈VI-3,5000000,5000000,1000000,250000,83000,19d 20:40:00
방어특훈VI-4,6000000,6000000,1200000,300000,99000,31d 14:20:00
방어특훈VI-5,7000000,7000000,1400000,350000,110000,37d 22:00:00
방어특훈VI-6,13000000,13000000,2700000,690000,220000,90d 06:40:00
생존특훈VI-0,0,0,0,0,0,0
생존특훈VI-1,5000000,5000000,1000000,250000,83000,18d 01:20:00
생존특훈VI-2,5000000,5000000,1000000,250000,83000,18d 01:20:00
생존특훈VI-3,5000000,5000000,1000000,250000,83000,19d 20:40:00
생존특훈VI-4,6000000,6000000,1200000,300000,99000,31d 14:20:00
생존특훈VI-5,7000000,7000000,1400000,350000,110000,37d 22:00:00
생존특훈VI-6,13000000,13000000,2700000,690000,220000,90d 06:40:00
돌격특훈VI-0,0,0,0,0,0,0
돌격특훈VI-1,5000000,5000000,1000000,250000,83000,18d 01:20:00
돌격특훈VI-2,5000000,5000000,1000000,250000,83000,18d 01:20:00
돌격특훈VI-3,5000000,5000000,1000000,250000,83000,19d 20:40:00
돌격특훈VI-4,6000000,6000000,1200000,300000,99000,31d 14:20:00
돌격특훈VI-5,7000000,7000000,1400000,350000,110000,37d 22:00:00
돌격특훈VI-6,13000000,13000000,2700000,690000,220000,90d 06:40:00
편성확장VI-0,0,0,0,0,0,0
편성확장VI-1,5400000,5400000,1000000,270000,89000,22d 05:20:00
편성확장VI-2,5400000,5400000,1000000,270000,89000,22d 05:20:00
편성확장VI-3,5400000,5400000,1000000,270000,89000,24d 10:40:00
편성확장VI-4,6500000,6500000,1300000,320000,100000,38d 21:20:00
편성확장VI-5,7600000,7600000,1500000,380000,120000,46d 16:00:00
편성확장VI-6,14000000,14000000,2900000,740000,240000,111d 02:40:00
피의전투VI-0,0,0,0,0,0,0
피의전투VI-1,1900000,1900000,380000,97000,32000,6d 22:40:00  
피의전투VI-2,1900000,1900000,380000,97000,32000,6d 22:40:00  
피의전투VI-3,1900000,1900000,380000,97000,32000,7d 15:20:00  
피의전투VI-4,2300000,2300000,460000,110000,38000,12d 03:40:00  
피의전투VI-5,2700000,2700000,540000,130000,44000,14d 14:00:00  
피의전투VI-6,5300000,5300000,1000000,260000,88000,34d 17:20:00
정점저격VI-0,0,0,0,0,0,0
정점저격VI-1,4600000,4600000,930000,230000,76000,16d 16:00:00  
정점저격VI-2,4600000,4600000,930000,230000,76000,16d 16:00:00  
정점저격VI-3,4600000,4600000,930000,230000,76000,18d 08:00:00  
정점저격VI-4,5500000,5500000,1100000,270000,92000,29d 04:00:00  
정점저격VI-5,6500000,6500000,1300000,320000,100000,35d 00:00:00  
정점저격VI-6,12000000,12000000,2500000,640000,210000,83d 08:00:00
창 개조VI-0,0,0,0,0,0,0
창 개조VI-1,4600000,4600000,930000,230000,76000,16d 16:00:00  
창 개조VI-2,4600000,4600000,930000,230000,76000,16d 16:00:00  
창 개조VI-3,4600000,4600000,930000,230000,76000,18d 08:00:00  
창 개조VI-4,5500000,5500000,1100000,270000,92000,29d 04:00:00  
창 개조VI-5,6500000,6500000,1300000,320000,100000,35d 00:00:00  
창 개조VI-6,12000000,12000000,2500000,640000,210000,83d 08:00:00
방패개조VI-0,0,0,0,0,0,0
방패개조VI-1,5800000,5800000,1100000,290000,96000,20d 20:00:00  
방패개조VI-2,5800000,5800000,1100000,290000,96000,20d 20:00:00  
방패개조VI-3,5800000,5800000,1100000,290000,96000,22d 22:00:00  
방패개조VI-4,6900000,6900000,1300000,340000,110000,36d 11:00:00  
방패개조VI-5,8100000,8100000,1600000,400000,130000,43d 18:00:00  
방패개조VI-6,16000000,16000000,3200000,800000,260000,104d 04:00:00
궁병갑옷VI-0,0,0,0,0,0,0
궁병갑옷VI-1,3100000,3100000,620000,150000,51000,11d 02:40:00  
궁병갑옷VI-2,3100000,3100000,620000,150000,51000,11d 02:40:00  
궁병갑옷VI-3,3100000,3100000,620000,150000,51000,12d 05:20:00  
궁병갑옷VI-4,3700000,3700000,740000,180000,61000,19d 10:40:00  
궁병갑옷VI-5,4300000,4300000,870000,210000,71000,23d 08:00:00  
궁병갑옷VI-6,8500000,8500000,1700000,420000,140000,55d 13:20:00
창병방어VI-0,0,0,0,0,0,0
창병방어VI-1,3100000,3100000,620000,150000,51000,11d 02:40:00  
창병방어VI-2,3100000,3100000,620000,150000,51000,11d 02:40:00  
창병방어VI-3,3100000,3100000,620000,150000,51000,12d 05:20:00  
창병방어VI-4,3700000,3700000,740000,180000,61000,19d 10:40:00  
창병방어VI-5,4300000,4300000,870000,210000,71000,23d 08:00:00  
창병방어VI-6,8500000,8500000,1700000,420000,140000,55d 13:20:00
